"id","country","name","sex","president","start_president","end_president","ministry","undersec","start_undersec","end_undersec","party"
1,"Chile","Belisario Velasco Baraona","man","Patricio Aylwin",1990-03-11,1994-03-11,"Interior","Interior",1990-03-09,1994-03-11,"PDC"
2,"Chile","Andrés Couve Rioseco","man","Patricio Aylwin",1990-03-11,1994-03-11,"Economía, Fomento y Reconstrucción","Pesca",1990-03-11,1994-03-11,"PDC"
3,"Chile","Edgardo Riveros Marín","man","Patricio Aylwin",1990-03-11,1994-03-11,"SEGEGOB","SEGEGOB",1990-03-11,1994-03-11,"PDC"
4,"Chile","Edmundo Vargas Carreño","man","Patricio Aylwin",1990-03-11,1994-03-11,"Relaciones Exteriores","Relaciones Exteriores",1990-03-11,1993-05-22,"PDC"
5,"Chile","Eduardo Loyola Osorio","man","Patricio Aylwin",1990-03-11,1994-03-11,"Trabajo y Previsión Social","Trabajo",1990-03-11,1994-03-11,"PS"
6,"Chile","Gonzalo Martner Fanta","man","Patricio Aylwin",1990-03-11,1994-03-11,"Interior","SUBDERE",1990-03-11,1994-03-11,"PS"
7,"Chile","Iván Valenzuela Rabi","man","Patricio Aylwin",1990-03-11,1994-03-11,"Minería","Minería",1990-03-11,1994-03-11,"PS"
8,"Chile","Joan Mac Donald Maier","woman","Patricio Aylwin",1990-03-11,1994-03-11,"Vivienda y Urbanismo","Vivienda",1990-03-11,1994-03-11,"PDC"
9,"Chile","Jorge Kindermann Fernández","man","Patricio Aylwin",1990-03-11,1994-03-11,"Defensa Nacional","Carabineros",1990-03-11,1994-03-11,"PDC"
10,"Chile","Jorge Marshall Rivera","man","Patricio Aylwin",1990-03-11,1994-03-11,"Economía, Fomento y Reconstrucción","Economía",1990-03-11,1992-09-28,"PPD"
11,"Chile","Jorge Pantoja Bornand","man","Patricio Aylwin",1990-03-11,1994-03-11,"Defensa Nacional","Investigaciones",1990-03-11,1994-03-11,"PDC"
12,"Chile","Juan Enrique Miquel Muñoz","man","Patricio Aylwin",1990-03-11,1994-03-11,"Obras Públicas","Obras Públicas",1990-03-11,1994-03-11,"NP"
13,"Chile","María Pía Figueroa Edwards","woman","Patricio Aylwin",1990-03-11,1994-03-11,"Bienes Nacionales","Bienes Nacionales",1990-03-11,1993-04-12,"PH"
14,"Chile","Martín Manterola Urzúa","man","Patricio Aylwin",1990-03-11,1994-03-11,"Trabajo y Previsión Social","Previsión Social",1990-03-11,1992-07-23,"NP"
15,"Chile","Martita Wörner Tapia","woman","Patricio Aylwin",1990-03-11,1994-03-11,"Justicia","Justicia",1990-03-11,1993-07-01,"PPD"
16,"Chile","Maximiliano Cox Balmaceda","man","Patricio Aylwin",1990-03-11,1994-03-11,"Agricultura","Agricultura",1990-03-11,1994-03-11,"PDC"
17,"Chile","Pablo Piñera Echenique","man","Patricio Aylwin",1990-03-11,1994-03-11,"Hacienda","Hacienda",1990-03-11,1991-12-02,"PDC"
18,"Chile","Patricio Silva Rojas","man","Patricio Aylwin",1990-03-11,1994-03-11,"Salud","Salud",1990-03-11,1994-03-11,"NP"
19,"Chile","Raúl Allard Neumann","man","Patricio Aylwin",1990-03-11,1994-03-11,"Educación","Educación",1990-03-11,1993-05-24,"PDC"
20,"Chile","Ricardo Solari Saavedra","man","Patricio Aylwin",1990-03-11,1994-03-11,"SEGPRES","SEGPRES",1990-03-11,1994-03-11,"PS"
21,"Chile","Roberto Pliscoff Vásquez","man","Patricio Aylwin",1990-03-11,1994-03-11,"Transportes y Telecomunicaciones","Telecomunicaciones",1990-03-11,1994-03-11,"PR"
22,"Chile","Sergio González Tagle","man","Patricio Aylwin",1990-03-11,1994-03-11,"Transportes y Telecomunicaciones","Transportes",1990-03-11,1994-03-11,"NP"
23,"Chile","Tomás Puig Casanova","man","Patricio Aylwin",1990-03-11,1994-03-11,"Defensa Nacional","Marina",1990-03-11,1994-03-11,"NP"
24,"Chile","Marcos Sánchez Edwards","man","Patricio Aylwin",1990-03-11,1994-03-11,"Defensa Nacional","Guerra",1990-03-20,1993-07-01,"PDC"
25,"Chile","Mario Fernández Baeza","man","Patricio Aylwin",1990-03-11,1994-03-11,"Defensa Nacional","Aviación",1990-03-20,1993-03-31,"PDC"
26,"Chile","Álvaro García Hurtado","man","Patricio Aylwin",1990-03-11,1994-03-11,"Planificación","Planificación y Cooperación",1990-07-19,1993-07-01,"PPD"
27,"Chile","María Teresa Chadwick Piñera","woman","Patricio Aylwin",1990-03-11,1994-03-11,"SERNAM","SERNAM",1991-01-03,1994-03-11,"PS"
28,"Chile","Jorge Rodríguez Grossi","man","Patricio Aylwin",1990-03-11,1994-03-11,"Hacienda","Hacienda",1991-12-02,1994-02-08,"PDC"
29,"Chile","Luis Orlandini Molina","man","Patricio Aylwin",1990-03-11,1994-03-11,"Trabajo y Previsión Social","Previsión Social",1992-07-28,1994-03-11,"NP"
30,"Chile","Álvaro Briones Ramírez","man","Patricio Aylwin",1990-03-11,1994-03-11,"Economía, Fomento y Reconstrucción","Economía",1992-09-28,1994-03-11,"PS"
31,"Chile","Jorge Heine Lorenzen","man","Patricio Aylwin",1990-03-11,1994-03-11,"Defensa Nacional","Aviación",1993-04-01,1994-03-11,"PPD"
32,"Chile","Eduardo Jara Miranda","man","Patricio Aylwin",1990-03-11,1994-03-11,"Bienes Nacionales","Bienes Nacionales",1993-04-12,1994-03-11,"PR"
33,"Chile","Rodrigo Díaz Albónico","man","Patricio Aylwin",1990-03-11,1994-03-11,"Relaciones Exteriores","Relaciones Exteriores",1993-05-22,1994-03-11,"NP"
34,"Chile","Julio Valladares Muñoz","man","Patricio Aylwin",1990-03-11,1994-03-11,"Educación","Educación",1993-05-24,1994-03-11,"PDC"
35,"Chile","Carlos Fuensalida Claro","man","Patricio Aylwin",1990-03-11,1994-03-11,"Planificación","Planificación y Cooperación",1993-07-01,1994-03-11,"NP"
36,"Chile","Jorge Burgos Varela","man","Patricio Aylwin",1990-03-11,1994-03-11,"Defensa Nacional","Guerra",1993-07-01,1994-03-11,"PDC"
37,"Chile","Marcos Sánchez Edwards","man","Patricio Aylwin",1990-03-11,1994-03-11,"Justicia","Justicia",1993-07-01,1994-03-11,"PDC"
38,"Chile","José Pablo Arellano Marín","man","Patricio Aylwin",1990-03-11,1994-03-11,"Hacienda","Hacienda",1994-02-08,1994-03-11,"PDC"
39,"Chile","Alejandro Gutiérrez Arteaga","man","Eduardo Frei",1994-03-11,2000-03-11,"Agricultura","Agricultura",1994-03-11,1996-12-23,"NP"
40,"Chile","Ángel Flisfisch Fernández","man","Eduardo Frei",1994-03-11,2000-03-11,"SEGPRES","SEGPRES",1994-03-11,1995-06-01,"NP"
41,"Chile","Belisario Velasco Baraona","man","Eduardo Frei",1994-03-11,2000-03-11,"Interior","Interior",1994-03-11,1999-03-01,"PDC"
42,"Chile","Carlos Mena Keymer","man","Eduardo Frei",1994-03-11,2000-03-11,"Defensa Nacional","Marina",1994-03-11,1995-04-07,"PDC"
43,"Chile","Carlos Mladinic Alonso","man","Eduardo Frei",1994-03-11,2000-03-11,"Economía, Fomento y Reconstrucción","Economía",1994-03-11,1995-04-19,"PDC"
44,"Chile","Claudio Hohmann Barrientos","man","Eduardo Frei",1994-03-11,2000-03-11,"Transportes y Telecomunicaciones","Transportes",1994-03-11,1996-09-28,"PDC"
45,"Chile","Edgardo Riveros Marín","man","Eduardo Frei",1994-03-11,2000-03-11,"SEGEGOB","SEGEGOB",1994-03-11,1997-07-01,"PDC"
46,"Chile","Eduardo Jara Miranda","man","Eduardo Frei",1994-03-11,2000-03-11,"Justicia","Justicia",1994-03-11,1996-04-15,"PRSD"
47,"Chile","Fernando Muñoz Porras","man","Eduardo Frei",1994-03-11,2000-03-11,"Salud","Salud",1994-03-11,1998-07-14,"PS"
48,"Chile","Germán Quintana Peña","man","Eduardo Frei",1994-03-11,2000-03-11,"Obras Públicas","Obras Públicas",1994-03-11,1996-08-07,"PDC"
49,"Chile","Gonzalo Undurraga Mackenna","man","Eduardo Frei",1994-03-11,2000-03-11,"Educación","Educación",1994-03-11,1994-09-20,"PDC"
50,"Chile","Guillermo Pérez Vega","man","Eduardo Frei",1994-03-11,2000-03-11,"Trabajo y Previsión Social","Trabajo",1994-03-11,1996-10-22,"NP"
51,"Chile","Jorge Burgos Varela","man","Eduardo Frei",1994-03-11,2000-03-11,"Defensa Nacional","Guerra",1994-03-11,1996-12-02,"PDC"
52,"Chile","Jorge Pantoja Bornand","man","Eduardo Frei",1994-03-11,2000-03-11,"Defensa Nacional","Investigaciones",1994-03-11,2000-03-11,"PDC"
53,"Chile","Jorge Rodríguez Grossi","man","Eduardo Frei",1994-03-11,2000-03-11,"Interior","SUBDERE",1994-03-11,1994-09-20,"PDC"
54,"Chile","Jorge Rosenblut Ratinoff","man","Eduardo Frei",1994-03-11,2000-03-11,"Transportes y Telecomunicaciones","Telecomunicaciones",1994-03-11,1995-06-01,"PPD"
55,"Chile","José Manuel Marfán Lewis","man","Eduardo Frei",1994-03-11,2000-03-11,"Hacienda","Hacienda",1994-03-11,1999-12-03,"PS"
56,"Chile","José Miguel Insulza","man","Eduardo Frei",1994-03-11,2000-03-11,"Relaciones Exteriores","Relaciones Exteriores",1994-03-11,1994-09-20,"PS"
57,"Chile","Luciano Fouillioux Fernández","man","Eduardo Frei",1994-03-11,2000-03-11,"Defensa Nacional","Carabineros",1994-03-11,2000-03-11,"PDC"
58,"Chile","Mario Fernández Baeza","man","Eduardo Frei",1994-03-11,2000-03-11,"Defensa Nacional","Aviación",1994-03-11,1995-11-13,"PDC"
59,"Chile","Patricio Bernal Ponce","man","Eduardo Frei",1994-03-11,2000-03-11,"Economía, Fomento y Reconstrucción","Pesca",1994-03-11,1996-08-28,"PS"
60,"Chile","Patricio Tombolini Véliz","man","Eduardo Frei",1994-03-11,2000-03-11,"Trabajo y Previsión Social","Previsión Social",1994-03-11,2000-03-11,"PRSD"
61,"Chile","Paulina Veloso Valenzuela","woman","Eduardo Frei",1994-03-11,2000-03-11,"SERNAM","SERNAM",1994-03-11,1997-03-01,"PS"
62,"Chile","Pedro Goic Karmelic","man","Eduardo Frei",1994-03-11,2000-03-11,"Planificación","Planificación y Cooperación",1994-03-11,1997-01-01,"PDC"
63,"Chile","Sergio Galilea Ocón","man","Eduardo Frei",1994-03-11,2000-03-11,"Vivienda y Urbanismo","Vivienda",1994-03-11,1996-11-18,"PPD"
64,"Chile","Sergio Hernández Núñez","man","Eduardo Frei",1994-03-11,2000-03-11,"Minería","Minería",1994-03-11,1997-08-18,"PDC"
65,"Chile","Sergio Vergara Larraín","man","Eduardo Frei",1994-03-11,2000-03-11,"Bienes Nacionales","Bienes Nacionales",1994-03-11,1999-08-02,"NP"
66,"Chile","Jaime Pérez de Arce Araya","man","Eduardo Frei",1994-03-11,2000-03-11,"Educación","Educación",1994-09-20,2000-03-11,"PS"
67,"Chile","Marcelo Schilling Rodríguez","man","Eduardo Frei",1994-03-11,2000-03-11,"Interior","SUBDERE",1994-09-20,2000-03-11,"PS"
68,"Chile","Mariano Fernández Amunátegui","man","Eduardo Frei",1994-03-11,2000-03-11,"Relaciones Exteriores","Relaciones Exteriores",1994-11-01,2000-03-11,"PDC"
69,"Chile","Pedro Cabrera Gaete","man","Eduardo Frei",1994-03-11,2000-03-11,"Defensa Nacional","Marina",1995-04-10,1999-07-31,"NP"
70,"Chile","Ángel Maulén Ríos","man","Eduardo Frei",1994-03-11,2000-03-11,"Economía, Fomento y Reconstrucción","Economía",1995-04-19,1996-08-28,"PDC"
71,"Chile","Gregorio San Martín Ricci","man","Eduardo Frei",1994-03-11,2000-03-11,"Transportes y Telecomunicaciones","Telecomunicaciones",1995-06-01,1997-08-07,"NP"
72,"Chile","Jorge Rosenblut Ratinoff","man","Eduardo Frei",1994-03-11,2000-03-11,"SEGPRES","SEGPRES",1995-06-01,1996-11-11,"PPD"
73,"Chile","Ángel Flisfisch Fernández","man","Eduardo Frei",1994-03-11,2000-03-11,"Defensa Nacional","Aviación",1995-11-13,2000-03-11,"NP"
74,"Chile","José Antonio Gómez Urrutia","man","Eduardo Frei",1994-03-11,2000-03-11,"Justicia","Justicia",1996-04-15,1999-12-16,"PRSD"
